Date,S&P500,Dow Jones
2007-01-03,1416.6,12474.5195
2007-01-04,1418.34,12480.6904
2007-01-05,1409.71,12398.0098
2007-01-08,1412.84,12423.4902
2007-01-09,1412.11,12416.5996
2007-01-10,1414.85,12442.1602
2007-01-11,1423.8199,12514.9805
2007-01-12,1430.73,12556.0801
2007-01-16,1431.9,12582.5898
2007-01-17,1430.62,12577.1504
2007-01-18,1426.37,12567.9297
2007-01-19,1430.5,12565.5303
2007-01-22,1422.95,12477.1602
2007-01-23,1427.99,12533.7998
2007-01-24,1440.13,12621.7695
2007-01-25,1423.9,12502.5596
2007-01-26,1422.1801,12487.0195
2007-01-29,1420.62,12490.7803
2007-01-30,1428.8199,12523.3096
2007-01-31,1438.24,12621.6904
2007-02-01,1445.9399,12673.6797
2007-02-02,1448.39,12653.4902
2007-02-05,1446.99,12661.7402
2007-02-06,1448.0,12666.3096
2007-02-07,1450.02,12666.8701
2007-02-08,1448.3101,12637.6299
2007-02-09,1438.0601,12580.8301
2007-02-12,1433.37,12552.5498
2007-02-13,1444.26,12654.8496
2007-02-14,1455.3,12741.8604
2007-02-15,1456.8101,12765.0098
2007-02-16,1455.54,12767.5703
2007-02-20,1459.6801,12786.6396
2007-02-21,1457.63,12738.4102
2007-02-22,1456.38,12686.0195
2007-02-23,1451.1899,12647.4805
2007-02-26,1449.37,12632.2598
2007-02-27,1399.04,12216.2402
2007-02-28,1406.8199,12268.6299
2007-03-01,1403.17,12234.3398
2007-03-02,1387.17,12114.0996
2007-03-05,1374.12,12050.4102
2007-03-06,1395.41,12207.5898
2007-03-07,1391.97,12192.4502
2007-03-08,1401.89,12260.7002
2007-03-09,1402.84,12276.3203
2007-03-12,1406.6,12318.6201
2007-03-13,1377.95,12075.96
2007-03-14,1387.17,12133.4004
2007-03-15,1392.28,12159.6797
2007-03-16,1386.95,12110.4102
2007-03-19,1402.0601,12226.1699
2007-03-20,1410.9399,12288.0996
2007-03-21,1435.04,12447.5195
2007-03-22,1434.54,12461.1396
2007-03-23,1436.11,12481.0098
2007-03-26,1437.5,12469.0703
2007-03-27,1428.61,12397.29
2007-03-28,1417.23,12300.3604
2007-03-29,1422.53,12348.75
2007-03-30,1420.86,12354.3496
2007-04-02,1424.55,12382.2998
2007-04-03,1437.77,12510.2998
2007-04-04,1439.37,12530.0498
2007-04-05,1443.76,12560.2002
2007-04-09,1444.61,12569.1396
2007-04-10,1448.39,12573.8496
2007-04-11,1438.87,12484.6201
2007-04-12,1447.8,12552.96
2007-04-13,1452.85,12612.1299
2007-04-16,1468.33,12720.46
2007-04-17,1471.48,12773.04
2007-04-18,1472.5,12803.8398
2007-04-19,1470.73,12808.6299
2007-04-20,1484.35,12961.9805
2007-04-23,1480.9301,12919.4004
2007-04-24,1480.41,12953.9404
2007-04-25,1495.42,13089.8896
2007-04-26,1494.25,13105.5
2007-04-27,1494.0699,13120.9404
2007-04-30,1482.37,13062.9102
2007-05-01,1486.3,13136.1396
2007-05-02,1495.92,13211.8799
2007-05-03,1502.39,13241.3799
2007-05-04,1505.62,13264.6201
2007-05-07,1509.48,13312.9697
2007-05-08,1507.72,13309.0703
2007-05-09,1512.58,13362.8701
2007-05-10,1491.47,13215.1299
2007-05-11,1505.85,13326.2197
2007-05-14,1503.15,13346.7803
2007-05-15,1501.1899,13383.8398
2007-05-16,1514.14,13487.5303
2007-05-17,1512.75,13476.7197
2007-05-18,1522.75,13556.5303
2007-05-21,1525.1,13542.8799
2007-05-22,1524.12,13539.9502
2007-05-23,1522.28,13525.6504
2007-05-24,1507.51,13441.1299
